LotFrontage,LotArea,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,Fireplaces,GarageCars,WoodDeckSF,OpenPorchSF,SalePrice
75.0,9742,8,2002,2002,281.0,0.0,1777.0,1777.0,0,1795,0.0,2,0,1,2.0,171,159,230000.0
44.0,4224,5,1976,1976,0.0,840.0,200.0,1040.0,0,1060,1.0,1,0,1,2.0,100,110,129900.0
,8246,5,1968,2001,0.0,188.0,204.0,1060.0,0,1060,1.0,1,0,1,1.0,406,90,154000.0
110.0,14230,8,2007,2007,640.0,0.0,1566.0,1566.0,0,1600,0.0,2,0,1,3.0,0,56,256300.0
60.0,7200,5,1951,2000,0.0,234.0,180.0,900.0,0,900,0.0,1,0,0,2.0,222,32,134800.0
98.0,11478,8,2007,2008,200.0,1218.0,486.0,1704.0,0,1704,1.0,2,0,1,3.0,0,50,306000.0
47.0,16321,5,1957,1997,0.0,1277.0,207.0,1484.0,0,1600,1.0,1,0,2,1.0,288,258,207500.0
60.0,6324,4,1927,1950,0.0,0.0,520.0,520.0,0,520,0.0,1,0,0,1.0,49,0,68500.0
50.0,8500,4,1920,1950,0.0,0.0,649.0,649.0,668,1317,0.0,1,0,0,1.0,0,54,40000.0
,8544,5,1966,2006,0.0,0.0,1228.0,1228.0,0,1228,0.0,1,1,0,1.0,0,65,149350.0
85.0,11049,8,2007,2007,0.0,0.0,1234.0,1234.0,0,1234,0.0,2,0,0,2.0,0,30,179900.0
70.0,10552,5,1959,1959,0.0,1018.0,380.0,1398.0,0,1700,0.0,1,1,1,2.0,0,38,165500.0
60.0,7313,9,2005,2005,246.0,1153.0,408.0,1561.0,0,1561,1.0,2,0,1,2.0,203,47,277500.0
108.0,13418,8,2004,2005,132.0,0.0,1117.0,1117.0,1320,2452,0.0,3,1,1,3.0,113,32,309000.0
112.0,10859,5,1994,1995,0.0,0.0,1097.0,1097.0,0,1097,0.0,1,1,0,2.0,392,64,145000.0
74.0,8532,5,1954,1990,650.0,1213.0,84.0,1297.0,0,1297,0.0,1,0,1,2.0,0,0,153000.0
68.0,7922,5,1953,2007,0.0,731.0,326.0,1057.0,0,1057,1.0,1,0,0,1.0,0,52,109000.0
65.0,6040,4,1955,1955,0.0,0.0,0.0,0.0,0,1152,0.0,2,0,0,0.0,0,0,82000.0
84.0,8658,6,1965,1965,101.0,643.0,445.0,1088.0,0,1324,0.0,2,0,1,2.0,0,138,160000.0
115.0,16905,5,1959,1959,0.0,967.0,383.0,1350.0,0,1328,0.0,1,1,2,1.0,0,104,170000.0
,9180,5,1983,1983,0.0,747.0,0.0,840.0,0,884,1.0,1,0,0,2.0,240,0,144000.0
,9200,5,1975,1980,0.0,280.0,167.0,938.0,0,938,1.0,1,0,0,1.0,145,0,130250.0
70.0,7945,5,1959,1959,0.0,179.0,465.0,1150.0,0,1150,1.0,1,0,0,1.0,0,0,141000.0
61.0,7658,9,2005,2005,412.0,456.0,1296.0,1752.0,0,1752,1.0,2,0,1,2.0,196,82,319900.0
48.0,12822,7,2003,2003,0.0,1351.0,83.0,1434.0,631,2149,1.0,1,1,1,2.0,168,43,239686.0
84.0,11096,8,2006,2006,0.0,24.0,1632.0,1656.0,0,1656,0.0,2,0,0,3.0,0,146,249700.0
33.0,4456,4,1920,2008,0.0,0.0,736.0,736.0,716,1452,0.0,2,0,0,0.0,0,0,113000.0
66.0,7742,5,1966,1966,0.0,763.0,192.0,955.0,0,955,1.0,1,0,0,1.0,0,0,127000.0
,13869,6,1997,1997,0.0,182.0,612.0,794.0,676,1470,0.0,2,0,0,2.0,0,75,177000.0
52.0,6240,6,1934,1950,0.0,0.0,816.0,816.0,0,1176,0.0,1,0,1,2.0,112,0,114500.0
110.0,8472,5,1963,1963,0.0,104.0,0.0,816.0,0,816,1.0,1,0,0,2.0,106,0,110000.0
68.0,50271,9,1981,1987,0.0,1810.0,32.0,1842.0,0,1842,2.0,0,1,1,3.0,857,72,385000.0
60.0,7134,5,1955,1955,0.0,384.0,0.0,384.0,0,1360,0.0,1,0,1,2.0,0,50,130000.0
100.0,10175,6,1964,1964,272.0,490.0,935.0,1425.0,0,1425,0.0,2,0,1,2.0,0,0,180500.0
24.0,2645,8,1999,2000,456.0,649.0,321.0,970.0,756,1739,1.0,2,1,0,2.0,115,0,172500.0
89.0,11645,7,2004,2004,0.0,0.0,860.0,860.0,860,1720,0.0,2,1,0,2.0,0,70,196500.0
66.0,13682,10,2006,2006,1031.0,0.0,1410.0,1410.0,1519,2945,0.0,3,1,1,3.0,192,0,438780.0
60.0,7200,5,1972,1972,0.0,632.0,148.0,780.0,0,780,0.0,1,0,0,1.0,196,0,124900.0
63.0,13072,6,2004,2004,0.0,941.0,217.0,1158.0,0,1158,1.0,1,1,0,2.0,0,50,158000.0
60.0,7200,5,1920,1996,0.0,0.0,530.0,530.0,530,1111,0.0,1,0,0,1.0,0,0,101000.0
44.0,6442,8,2006,2006,178.0,24.0,1346.0,1370.0,0,1370,0.0,2,0,1,2.0,120,49,202500.0
50.0,10300,7,1921,1950,0.0,0.0,576.0,576.0,808,1710,0.0,2,0,0,2.0,12,11,140000.0
,9375,7,1997,1998,573.0,739.0,318.0,1057.0,977,2034,1.0,2,1,0,2.0,576,36,219500.0
76.0,9591,8,2004,2005,344.0,0.0,1143.0,1143.0,1330,2473,0.0,2,1,1,3.0,192,151,317000.0
,19900,7,1970,1989,287.0,912.0,1035.0,1947.0,0,2207,1.0,2,0,1,2.0,301,0,180000.0
72.0,10665,7,2003,2003,167.0,1013.0,440.0,1453.0,0,1479,1.0,2,0,0,2.0,144,29,226000.0
47.0,4608,4,1945,1950,0.0,0.0,747.0,747.0,0,747,0.0,1,0,0,1.0,0,0,80000.0
81.0,15593,7,1953,1953,0.0,603.0,701.0,1304.0,983,2287,0.0,2,0,1,2.0,0,21,225000.0
95.0,13651,7,1973,1973,1115.0,1880.0,343.0,2223.0,0,2223,1.0,2,0,2,2.0,300,0,244000.0
69.0,7599,4,1982,2006,0.0,565.0,280.0,845.0,0,845,1.0,1,0,0,2.0,0,0,129500.0
74.0,10141,7,1998,1998,40.0,0.0,832.0,832.0,833,1718,0.0,2,1,1,2.0,0,94,185000.0
85.0,10200,5,1954,2003,104.0,320.0,404.0,1086.0,0,1086,1.0,1,0,0,2.0,0,0,144900.0
60.0,5790,3,1915,1950,0.0,0.0,840.0,840.0,765,1605,0.0,2,0,0,1.0,0,0,107400.0
21.0,1596,4,1973,1973,0.0,462.0,0.0,462.0,462,988,1.0,1,0,0,1.0,120,101,91000.0
,8475,4,1956,1956,0.0,228.0,724.0,952.0,0,952,0.0,1,0,0,1.0,0,0,135750.0
50.0,8635,5,1948,2001,0.0,336.0,295.0,672.0,213,1285,1.0,1,0,0,1.0,0,0,127000.0
72.0,10778,4,1968,1968,0.0,0.0,1768.0,1768.0,0,1768,0.0,2,0,0,0.0,0,0,136500.0
60.0,10440,5,1910,1981,0.0,0.0,440.0,440.0,548,1230,0.0,1,1,0,2.0,74,0,110000.0
100.0,13000,6,1968,1968,576.0,448.0,448.0,896.0,960,2142,0.0,2,1,1,1.0,0,72,193500.0
32.0,4500,6,1998,1998,443.0,1201.0,36.0,1237.0,0,1337,1.0,2,0,0,2.0,0,199,153500.0
78.0,10206,8,2007,2007,468.0,33.0,1530.0,1563.0,0,1563,0.0,2,0,1,3.0,144,99,245000.0
80.0,8892,5,1960,1960,66.0,0.0,1065.0,1065.0,0,1065,0.0,1,1,0,2.0,74,0,126500.0
,8530,7,1995,1996,22.0,0.0,384.0,384.0,670,1474,0.0,2,1,1,2.0,120,72,168500.0
121.0,16059,8,1991,1992,284.0,0.0,1288.0,1288.0,1116,2417,0.0,2,1,1,2.0,127,82,260000.0
122.0,11911,6,2005,2005,0.0,0.0,684.0,684.0,876,1560,0.0,2,1,1,2.0,100,38,174000.0
40.0,3951,6,2009,2009,76.0,0.0,612.0,612.0,612,1224,0.0,2,1,0,2.0,0,234,164500.0
105.0,8470,3,1915,1982,0.0,0.0,1013.0,1013.0,0,1526,0.0,1,0,0,0.0,0,0,85000.0
60.0,8070,4,1994,1995,0.0,588.0,402.0,990.0,0,990,1.0,1,0,0,0.0,0,0,123600.0
60.0,7200,4,1950,1950,0.0,0.0,0.0,0.0,0,1040,0.0,1,0,0,2.0,0,29,109900.0
85.0,8500,5,1961,1961,203.0,600.0,635.0,1235.0,0,1235,0.0,1,0,0,2.0,0,0,98600.0
80.0,13360,5,1921,2006,0.0,713.0,163.0,876.0,0,964,1.0,1,0,0,2.0,0,0,163500.0
60.0,7200,6,1910,1998,0.0,1046.0,168.0,1214.0,1031,2291,0.0,2,0,1,2.0,0,0,133900.0
69.0,9337,6,1997,1997,0.0,648.0,176.0,824.0,881,1786,1.0,2,1,0,2.0,0,162,204750.0
,9765,6,1993,1993,68.0,310.0,370.0,680.0,790,1470,0.0,2,1,1,2.0,232,63,185000.0
78.0,10264,7,1999,1999,183.0,1162.0,426.0,1588.0,0,1588,0.0,2,0,0,2.0,158,29,214000.0
73.0,10921,4,1965,1965,48.0,520.0,440.0,960.0,0,960,1.0,1,0,0,1.0,120,0,94750.0
85.0,10625,5,1920,1950,0.0,108.0,350.0,458.0,0,835,0.0,1,0,0,1.0,0,0,83000.0
77.0,9320,4,1959,1959,0.0,569.0,381.0,950.0,0,1225,1.0,1,1,0,0.0,352,0,128950.0
,10603,6,1977,2001,28.0,1200.0,410.0,1610.0,0,1610,1.0,2,0,2,2.0,168,68,205000.0
77.0,9206,6,1985,1985,336.0,0.0,741.0,741.0,755,1732,0.0,2,1,1,2.0,192,46,178000.0
64.0,7018,5,1979,1979,0.0,0.0,0.0,0.0,0,1535,0.0,2,0,0,2.0,0,0,118964.0
94.0,10402,7,2009,2009,0.0,0.0,1226.0,1226.0,0,1226,0.0,2,0,0,3.0,0,36,198900.0
,7758,7,1931,1950,600.0,224.0,816.0,1040.0,592,1818,0.0,1,1,2,1.0,0,0,169500.0
75.0,9375,8,2003,2004,768.0,0.0,1053.0,1053.0,939,1992,0.0,2,1,1,2.0,140,45,250000.0
60.0,10800,4,1885,1995,0.0,0.0,641.0,641.0,0,1047,0.0,1,0,0,1.0,0,0,100000.0
50.0,6000,5,1948,1950,0.0,104.0,516.0,789.0,0,789,0.0,1,0,0,1.0,0,0,115000.0
85.0,8500,5,1919,2005,0.0,0.0,793.0,793.0,520,1517,0.0,2,0,0,0.0,0,0,115000.0
105.0,11751,6,1977,1977,480.0,705.0,1139.0,1844.0,0,1844,0.0,2,0,1,2.0,0,122,190000.0
75.0,9525,6,1954,1972,0.0,444.0,550.0,994.0,639,1855,0.0,2,0,0,1.0,182,0,136900.0
,7750,7,2000,2000,0.0,250.0,134.0,384.0,656,1430,0.0,2,1,1,2.0,180,0,180000.0
77.0,9965,7,2007,2007,220.0,984.0,280.0,1264.0,1414,2696,1.0,2,1,1,3.0,120,184,383970.0
,21000,6,1953,1953,184.0,35.0,905.0,1809.0,0,2259,1.0,2,0,2,2.0,166,120,217000.0
61.0,7259,6,1945,2002,0.0,774.0,104.0,1028.0,884,2320,1.0,2,1,1,1.0,224,0,259500.0
34.0,3230,6,1999,1999,1129.0,419.0,310.0,729.0,729,1458,0.0,2,1,1,2.0,0,32,176000.0
,11616,5,1962,1962,116.0,170.0,252.0,1092.0,0,1092,0.0,1,0,1,1.0,0,20,139000.0
74.0,8536,5,2006,2007,0.0,0.0,1125.0,1125.0,0,1125,0.0,1,1,0,2.0,80,64,155000.0
90.0,12376,7,1990,1990,0.0,1470.0,203.0,1673.0,1523,3222,1.0,3,0,2,3.0,367,0,320000.0
65.0,8461,6,2005,2006,0.0,0.0,728.0,728.0,728,1456,0.0,2,1,1,2.0,0,24,163990.0
,21453,6,1969,1969,0.0,938.0,0.0,938.0,0,988,1.0,1,0,2,2.0,0,130,180000.0
50.0,6060,4,1939,1950,0.0,0.0,732.0,732.0,351,1123,0.0,1,0,0,1.0,0,0,100000.0
75.0,9464,6,1958,1958,135.0,570.0,510.0,1080.0,0,1080,0.0,1,0,0,1.0,0,0,136000.0
55.0,7892,6,1993,1993,0.0,300.0,899.0,1199.0,0,1199,0.0,2,0,0,2.0,0,63,153900.0
48.0,17043,6,1979,1998,0.0,0.0,1362.0,1362.0,0,1586,0.0,2,0,1,2.0,192,0,181000.0
60.0,6780,6,1935,1982,0.0,490.0,30.0,520.0,0,754,1.0,1,0,0,0.0,53,0,84500.0
,4928,6,1976,1976,0.0,120.0,958.0,1078.0,0,958,0.0,2,0,1,2.0,0,205,128000.0
55.0,4388,5,1930,1950,0.0,116.0,556.0,672.0,0,840,0.0,1,0,1,0.0,0,0,87000.0
69.0,7590,6,1966,1966,266.0,512.0,148.0,660.0,688,1348,0.0,1,1,1,2.0,188,108,155000.0
69.0,8973,5,1958,1991,85.0,567.0,413.0,1008.0,0,1053,0.0,1,1,0,2.0,0,80,150000.0
88.0,14200,7,1966,1966,309.0,445.0,479.0,924.0,941,2157,0.0,2,1,2,2.0,105,66,226000.0
,12224,6,2000,2000,40.0,695.0,297.0,992.0,1032,2054,1.0,2,1,1,2.0,24,48,244000.0
75.0,7388,5,1959,2002,0.0,405.0,658.0,1063.0,0,1327,1.0,1,0,0,2.0,0,0,150750.0
,6853,8,2001,2002,136.0,1005.0,262.0,1267.0,0,1296,1.0,2,0,0,2.0,192,25,220000.0
78.0,10335,5,1968,1993,0.0,570.0,891.0,1461.0,0,1721,0.0,2,1,1,2.0,0,96,180000.0
80.0,10400,7,1970,1970,288.0,0.0,1304.0,1304.0,0,1682,0.0,2,0,1,2.0,98,0,174000.0
,10355,5,1967,1967,196.0,695.0,519.0,1214.0,0,1214,0.0,2,0,1,1.0,0,111,143000.0
82.0,11070,7,1988,1989,70.0,0.0,1907.0,1907.0,0,1959,0.0,3,0,0,3.0,0,0,171000.0
73.0,9066,8,1999,2000,320.0,668.0,336.0,1004.0,848,1852,0.0,2,1,2,3.0,224,106,230000.0
65.0,15426,6,1997,1997,0.0,821.0,107.0,928.0,836,1764,1.0,2,1,0,2.0,276,99,231500.0
70.0,10500,4,1971,1971,0.0,432.0,432.0,864.0,0,864,0.0,1,0,1,0.0,0,0,115000.0
78.0,11645,7,2005,2005,0.0,1300.0,434.0,1734.0,0,1734,1.0,2,0,0,2.0,160,24,260000.0
71.0,8520,5,1952,1952,0.0,507.0,403.0,910.0,475,1385,0.0,2,0,0,2.0,0,0,166000.0
78.0,10335,7,1999,1999,183.0,679.0,811.0,1490.0,0,1501,1.0,2,0,0,2.0,144,29,204000.0
70.0,9100,5,1963,1963,336.0,1332.0,396.0,1728.0,0,1728,1.0,2,0,0,2.0,0,0,125000.0
24.0,2522,6,2004,2006,50.0,0.0,970.0,970.0,739,1709,0.0,2,0,0,2.0,0,40,130000.0
51.0,6120,5,1931,1993,0.0,209.0,506.0,715.0,0,875,1.0,1,0,0,1.0,48,0,105000.0
,9505,7,2001,2001,180.0,0.0,884.0,884.0,1151,2035,0.0,2,1,1,2.0,144,48,222500.0
63.0,7500,7,2004,2005,120.0,680.0,400.0,1080.0,0,1080,1.0,1,0,0,0.0,0,0,141000.0
,6240,5,1936,1950,0.0,0.0,896.0,896.0,448,1344,0.0,1,0,0,1.0,200,114,115000.0
120.0,10356,5,1975,1975,0.0,716.0,253.0,969.0,0,969,0.0,1,1,0,2.0,0,0,122000.0
107.0,13891,8,2007,2008,436.0,1400.0,310.0,1710.0,0,1710,1.0,2,0,1,3.0,0,102,372402.0
,14803,6,1971,1971,252.0,416.0,409.0,825.0,896,1993,0.0,2,1,1,2.0,0,66,190000.0
,13500,6,1960,1975,0.0,429.0,93.0,1602.0,0,1252,1.0,1,0,1,2.0,409,0,235000.0
84.0,11340,6,1923,1950,0.0,0.0,1200.0,1200.0,0,1200,0.0,1,0,0,1.0,0,0,125000.0
60.0,9600,6,1924,1950,0.0,0.0,572.0,572.0,524,1096,0.0,1,0,0,0.0,0,8,79000.0
60.0,7200,5,1950,1950,0.0,0.0,0.0,0.0,0,1040,0.0,1,0,0,2.0,0,0,109500.0
92.0,12003,8,2009,2010,84.0,0.0,774.0,774.0,1194,1968,0.0,2,1,1,3.0,0,75,269500.0
100.0,12552,7,2004,2005,0.0,222.0,769.0,991.0,956,1947,0.0,2,1,1,2.0,0,136,254900.0
134.0,19378,7,2005,2006,456.0,57.0,1335.0,1392.0,1070,2462,1.0,2,1,1,2.0,239,132,320000.0
,11120,6,1984,1984,0.0,660.0,572.0,1232.0,0,1232,0.0,2,0,0,2.0,0,0,162500.0
110.0,13688,9,2003,2004,664.0,1016.0,556.0,1572.0,1096,2668,1.0,2,1,2,3.0,400,0,412500.0
95.0,12182,7,2005,2005,226.0,1201.0,340.0,1541.0,0,1541,0.0,2,0,1,2.0,0,70,220000.0
55.0,5500,4,1956,1956,0.0,0.0,882.0,882.0,0,882,0.0,1,0,0,0.0,0,0,103200.0
40.0,5400,6,1926,2004,0.0,370.0,779.0,1149.0,467,1616,0.0,2,0,0,1.0,0,0,152000.0
62.0,10106,5,1940,1999,0.0,351.0,112.0,644.0,547,1355,1.0,2,0,0,0.0,140,0,127500.0
,10708,5,1955,1993,0.0,379.0,470.0,1617.0,0,1867,1.0,1,0,3,1.0,476,0,190000.0
86.0,10562,8,2007,2007,300.0,1288.0,294.0,1582.0,551,2161,1.0,1,1,1,3.0,178,120,325624.0
62.0,8244,7,2004,2004,0.0,0.0,840.0,840.0,880,1720,0.0,2,1,1,2.0,100,48,183500.0
,16669,8,1981,1981,653.0,0.0,1686.0,1686.0,0,1707,0.0,2,1,1,2.0,574,64,228000.0
,12358,5,1941,1950,0.0,360.0,360.0,720.0,0,1382,0.0,1,1,0,2.0,237,0,128500.0
141.0,31770,6,1960,1960,112.0,639.0,441.0,1080.0,0,1656,1.0,1,0,2,2.0,210,62,215000.0
44.0,5306,7,1987,1987,0.0,495.0,354.0,1064.0,703,1767,1.0,2,0,1,2.0,441,35,239000.0
80.0,10197,6,1961,1961,491.0,288.0,700.0,1362.0,0,1362,1.0,1,1,1,2.0,0,20,163000.0
47.0,12416,6,1986,1986,132.0,1398.0,0.0,1606.0,0,1651,1.0,2,0,1,2.0,192,0,184000.0
84.0,12615,6,1950,2001,0.0,477.0,725.0,1202.0,0,2158,1.0,2,0,1,2.0,0,29,243000.0
97.0,10029,6,1988,1989,268.0,831.0,320.0,1151.0,896,2060,0.0,2,1,1,2.0,0,228,211000.0
,13650,5,1958,1958,0.0,57.0,554.0,1052.0,668,1920,1.0,2,0,1,2.0,0,0,172500.0
63.0,17423,9,2008,2009,748.0,1904.0,312.0,2216.0,0,2234,1.0,2,0,1,3.0,0,60,501837.0
60.0,8520,5,1923,2006,0.0,0.0,968.0,968.0,0,968,0.0,1,0,0,2.0,0,0,100000.0
,2117,6,2000,2000,456.0,436.0,320.0,756.0,756,1525,0.0,2,1,1,2.0,0,0,177000.0
54.0,7588,7,1920,1950,0.0,352.0,441.0,793.0,901,1802,0.0,1,1,1,1.0,0,0,200100.0
60.0,9060,5,1957,2006,98.0,0.0,0.0,0.0,0,1340,0.0,1,0,1,1.0,116,0,120000.0
63.0,11426,7,2003,2003,0.0,0.0,1362.0,1362.0,720,2082,0.0,2,1,0,2.0,280,238,200000.0
92.0,7438,5,1908,1991,0.0,0.0,504.0,504.0,316,1252,0.0,1,0,0,2.0,104,0,127000.0
90.0,22950,10,1892,1993,0.0,0.0,1107.0,1107.0,1518,3608,0.0,2,1,2,3.0,0,260,475000.0
,9947,7,1990,1991,0.0,611.0,577.0,1188.0,0,1217,1.0,2,0,0,2.0,168,27,173000.0
60.0,10410,5,1916,1987,0.0,0.0,660.0,660.0,704,1656,0.0,2,1,0,1.0,0,0,135000.0
64.0,7018,5,1979,1979,275.0,1086.0,0.0,1086.0,0,1224,2.0,0,2,2,2.0,120,0,153337.0
41.0,4923,8,2001,2002,0.0,1153.0,440.0,1593.0,0,1593,1.0,1,1,1,2.0,0,120,286000.0
70.0,10570,8,1932,1994,0.0,297.0,556.0,853.0,1178,2727,0.0,2,1,2,2.0,0,74,315000.0
,7472,7,1972,2004,138.0,626.0,99.0,725.0,754,1479,1.0,1,1,0,2.0,0,32,184000.0
68.0,9017,7,1999,1999,0.0,560.0,871.0,1431.0,0,1431,1.0,2,0,0,2.0,0,35,192000.0
24.0,2522,7,2004,2004,50.0,0.0,970.0,970.0,739,1709,0.0,2,0,0,2.0,0,40,130000.0
60.0,7180,5,1972,1972,0.0,390.0,474.0,864.0,0,864,0.0,1,0,0,1.0,0,0,127000.0
24.0,2280,6,1976,1976,0.0,566.0,289.0,855.0,601,1456,0.0,2,1,1,2.0,87,0,148500.0
79.0,9416,7,2007,2007,205.0,1126.0,600.0,1726.0,0,1726,1.0,2,0,1,3.0,171,138,311872.0
174.0,25419,8,1918,1990,0.0,1036.0,140.0,1360.0,1360,3112,1.0,2,0,1,2.0,0,16,235000.0
92.0,5520,6,1912,1950,0.0,0.0,755.0,755.0,929,2229,0.0,1,0,0,0.0,0,198,104000.0
76.0,9591,8,2004,2005,262.0,1088.0,625.0,1713.0,0,1713,1.0,2,0,1,3.0,0,26,274900.0
80.0,8546,4,2003,2004,0.0,0.0,1121.0,1121.0,0,1121,0.0,2,0,0,2.0,132,64,140000.0
75.0,10125,6,1977,1977,0.0,641.0,276.0,1196.0,0,1279,0.0,2,0,2,2.0,238,83,171500.0
50.0,7000,6,1924,1950,0.0,617.0,0.0,617.0,445,1310,0.0,2,0,0,1.0,0,0,112000.0
,4438,6,2004,2004,205.0,662.0,186.0,848.0,0,848,1.0,1,0,1,2.0,149,0,149000.0
50.0,3500,5,1947,1950,0.0,312.0,408.0,720.0,564,1284,0.0,1,1,0,1.0,0,35,110000.0
99.0,11851,7,1990,1990,0.0,0.0,1424.0,1424.0,0,1442,0.0,2,0,0,2.0,0,34,180500.0
40.0,13673,5,1962,1962,0.0,0.0,1140.0,1140.0,0,1696,0.0,1,1,1,1.0,0,30,143900.0
,12493,4,1960,1960,0.0,419.0,375.0,1100.0,0,1100,1.0,1,0,1,1.0,355,0,141000.0
,14364,7,1988,1989,128.0,1065.0,92.0,1157.0,882,2062,1.0,2,1,1,2.0,60,55,277000.0
75.0,8250,6,1964,1964,260.0,787.0,305.0,1092.0,0,1092,1.0,1,0,0,2.0,0,0,145000.0
67.0,5604,5,1925,1950,0.0,468.0,396.0,864.0,0,864,1.0,1,0,0,0.0,0,0,98000.0
83.0,10420,6,2009,2009,0.0,36.0,1176.0,1212.0,0,1212,0.0,2,0,0,2.0,100,22,186000.0
72.0,8640,7,2009,2009,0.0,822.0,78.0,900.0,920,1852,1.0,2,1,1,2.0,168,108,252678.0
43.0,13568,5,1995,1995,0.0,716.0,274.0,990.0,0,990,0.0,1,0,0,2.0,224,0,156000.0
,10900,6,1977,1977,153.0,378.0,311.0,689.0,703,1392,0.0,1,1,0,1.0,0,36,161750.0
72.0,10011,5,1957,1996,64.0,360.0,710.0,1070.0,0,1236,0.0,1,0,1,1.0,0,0,134450.0
65.0,8450,7,2004,2004,266.0,946.0,490.0,1436.0,0,1436,1.0,2,0,0,2.0,139,98,210000.0
57.0,9906,4,1925,1950,0.0,0.0,686.0,686.0,518,1328,0.0,1,0,0,1.0,0,172,107000.0
,15660,7,1939,2006,312.0,341.0,457.0,798.0,817,1954,0.0,1,1,2,2.0,0,119,311500.0
43.0,3010,7,2005,2006,16.0,16.0,1232.0,1248.0,0,1248,0.0,2,0,0,2.0,108,0,167240.0
73.0,8990,7,2006,2006,0.0,0.0,1498.0,1498.0,0,1498,0.0,2,0,0,2.0,351,33,204900.0
,8068,6,2002,2002,0.0,0.0,1010.0,1010.0,1257,2267,0.0,2,1,1,2.0,120,46,200000.0
85.0,11475,6,1975,1975,0.0,550.0,163.0,713.0,741,1552,1.0,2,1,1,2.0,209,208,179900.0
70.0,10500,4,1971,1971,0.0,524.0,160.0,864.0,0,864,0.0,1,0,0,2.0,216,0,97000.0
103.0,13472,10,2003,2003,922.0,56.0,2336.0,2392.0,0,2392,0.0,2,0,1,3.0,248,105,386250.0
21.0,1680,5,1971,1971,142.0,0.0,630.0,630.0,672,1302,0.0,2,1,0,1.0,0,0,112000.0
82.0,9950,7,1995,1995,290.0,565.0,638.0,1203.0,1306,2520,0.0,2,1,1,3.0,224,114,290000.0
21.0,1869,6,1970,1970,127.0,321.0,162.0,483.0,504,987,0.0,1,1,0,1.0,0,0,106000.0
70.0,8521,5,1967,1967,0.0,842.0,70.0,912.0,0,912,0.0,1,0,1,1.0,0,0,125000.0
43.0,3182,7,2005,2006,16.0,16.0,1357.0,1373.0,0,1555,0.0,2,0,1,2.0,143,20,192500.0
73.0,8760,6,1959,1959,220.0,0.0,1194.0,1194.0,0,1194,1.0,1,0,0,1.0,0,0,148000.0
